iter	Passed	Remaining
0	0	151
1	1	111
2	1	95
3	2	88
4	2	83
5	4	115
6	4	108
7	5	106
8	7	123
9	8	134
10	9	130
11	10	124
12	10	117
13	10	112
14	11	108
15	11	106
16	12	107
17	13	103
18	14	104
19	14	100
20	14	96
21	16	100
22	16	96
23	17	97
24	19	102
25	20	103
26	20	100
27	21	99
28	21	96
29	22	99
30	23	96
31	24	99
32	26	102
33	28	104
34	29	104
35	30	106
36	33	110
37	34	111
38	36	112
39	36	109
40	38	112
41	40	113
42	42	114
43	42	113
44	45	116
45	47	117
46	48	117
47	50	117
48	51	117
49	53	117
50	55	117
51	56	117
52	58	118
53	60	118
54	61	117
55	63	117
56	64	117
57	66	116
58	68	116
59	69	116
60	69	113
61	71	112
62	73	112
63	74	111
64	76	111
65	77	110
66	79	109
67	80	109
68	82	108
69	83	107
70	85	107
71	86	106
72	88	105
73	90	104
74	91	103
75	93	103
76	94	102
77	96	101
78	98	100
79	99	99
80	101	98
81	102	97
82	104	96
83	106	96
84	107	95
85	109	94
86	110	93
87	112	91
88	114	90
89	115	89
90	117	89
91	119	88
92	120	87
93	122	86
94	124	85
95	125	83
96	127	82
97	128	81
98	129	79
99	131	78
100	133	77
101	133	76
102	134	74
103	136	73
104	138	72
105	140	71
106	141	70
107	143	69
108	145	68
109	147	67
110	149	66
111	151	64
112	153	63
113	155	62
114	157	61
115	158	60
116	160	58
117	162	57
118	163	56
119	165	55
120	166	53
121	168	52
122	170	51
123	171	49
124	173	48
125	174	47
126	176	45
127	178	44
128	179	43
129	181	41
130	182	40
131	184	39
132	185	37
133	187	36
134	189	35
135	190	33
136	192	32
137	193	30
138	195	29
139	197	28
140	198	26
141	200	25
142	201	24
143	203	22
144	205	21
145	206	19
146	208	18
147	209	17
148	211	15
149	212	14
150	214	12
151	215	11
152	217	9
153	219	8
154	220	7
155	222	5
156	223	4
157	225	2
158	226	1
159	228	0
